GeneSymbol	EntrezID	logFC	PValue	FDR
KIF20B	9585	1.255511805	0.000723155	0.006052818
NIT2	56954	1.25569761	0.000183699	0.002071983
STRAP	11171	1.255921511	0.000744763	0.006193035
COQ3	51805	1.25599048	0.001343585	0.009814092
PSMB8	5696	1.256598316	0.000347825	0.003384559
RASSF5	83593	1.257414733	0.001129717	0.00856117
HNRNPAB	3182	1.259295106	0.000360198	0.003484505
NFKB2	4791	1.259315728	9.96e-05	0.001271376
POP7	10248	1.261757159	0.000535463	0.004786262
BTN3A2	11118	1.261815537	0.000734962	0.006126901
FBXO45	200933	1.262781383	0.000143151	0.00170639
SEPT6	23157	1.264716682	0.000315074	0.003143351
CHPF2	54480	1.266446184	5.24e-05	0.000758402
MLF1	4291	1.270859307	0.00060392	0.005242723
NUDT5	11164	1.27213855	0.000148655	0.001755591
ZNF787	126208	1.272881835	0.00064157	0.005506148
WDR34	89891	1.273973656	0.00022824	0.002468654
NDUFS6	4726	1.274525423	0.001199016	0.008959775
KIF3C	3797	1.276077857	0.000850463	0.006882147
FAM89B	23625	1.278359475	0.000214406	0.002343811
LRRC42	115353	1.279546442	4.98e-05	0.000732728
GK	2710	1.280804186	0.000532928	0.004766171
KNTC1	9735	1.281771711	0.000361074	0.003488911
DONSON	29980	1.282364539	0.000396073	0.003750588
PLXNA3	55558	1.282377246	2.4e-05	0.000408044
CSK	1445	1.283014664	0.000101535	0.001290114
IER3	8870	1.283635852	0.001000489	0.007784661
ACTR3	10096	1.284628013	5.87e-05	0.000821343
HPS3	84343	1.286087451	0.000377963	0.003620452
SNRPC	6631	1.287719291	3.69e-05	0.00057539
POLR2H	5437	1.288325441	0.000129128	0.001566258
RAB31	11031	1.28856503	0.001081387	0.008270515
PSME4	23198	1.288977759	0.000199721	0.002209191
GOLT1B	51026	1.289109853	4.75e-05	0.000706936
SF3B4	10262	1.291493225	0.000187241	0.002097731
HYOU1	10525	1.293825153	0.000852356	0.006890743
COL5A2	1290	1.298131486	0.001215442	0.009056263
LRWD1	222229	1.299301973	0.000332887	0.003275728
GPR89B	51463	1.299589459	0.000833716	0.006766448
RABIF	5877	1.300240403	0.000313896	0.003135363
ACTL6A	86	1.300701311	3.55e-05	0.000557085
PSMB2	5690	1.302189968	0.00020354	0.002242454
SSX2IP	117178	1.302351936	0.000269788	0.002794101
C6orf167	253714	1.30246495	0.000595907	0.005184012
DNAJB11	51726	1.303907352	8.03e-05	0.00106636
BYSL	705	1.30408263	0.000110649	0.00137842
RFX5	5993	1.304257639	7.62e-06	0.000163481
LBR	3930	1.304260061	0.00055822	0.004933817
CDCP1	64866	1.307747239	0.000545937	0.004858927
UBL4A	8266	1.308094617	0.000330263	0.003255699
TUBA4A	7277	1.309148264	0.000787715	0.006469092
TXN	7295	1.309491468	0.000681211	0.005759897
KHDRBS3	10656	1.309900798	0.000861951	0.006958134
IGSF3	3321	1.311098613	0.000582246	0.005083846
KIAA1949	170954	1.313663645	0.000297575	0.003015944
SNX22	79856	1.318810462	0.000369649	0.003559323
SLC35A2	7355	1.320062621	1.74e-05	0.000314821
BCL3	602	1.321304766	0.000350605	0.003407606
PSMA5	5686	1.321894182	3.3e-05	0.0005293
C6orf125	84300	1.322793389	5.68e-05	0.000801895
ALG3	10195	1.327322712	2.47e-05	0.000418047
RANBP1	5902	1.327582691	5.67e-05	0.000801128
PRDX1	5052	1.329146873	8.68e-05	0.001131914
NRM	11270	1.330387317	0.000441093	0.004111166
CHPF	79586	1.330398432	5.87e-05	0.000821343
PSMG1	8624	1.331960858	0.001298546	0.009584768
OPN3	23596	1.332661486	0.000280322	0.002874471
IRF1	3659	1.333955483	0.000544219	0.004846238
HMGB2	3148	1.334339343	3.97e-05	0.000610793
MRPL47	57129	1.335594844	1.89e-05	0.000336056
SEMA4D	10507	1.337019716	1.21e-05	0.000234858
TMPO	7112	1.338743085	0.00019204	0.002138488
RASSF7	8045	1.339414581	0.000257557	0.002716633
C20orf24	55969	1.340295976	0.000426221	0.003986
MRPL13	28998	1.34093566	4.94e-05	0.000729113
FMNL1	752	1.341398706	0.00107119	0.008219064
C12orf11	55726	1.341673167	8.18e-05	0.001082226
NUP93	9688	1.342425051	7.32e-05	0.000989688
TPM3	7170	1.343261542	3.51e-05	0.000551741
PLEKHG4B	153478	1.345139	0.001215804	0.009056263
ILF2	3608	1.348289687	1.83e-05	0.000327078
DEK	7913	1.349286707	0.000407549	0.003846318
TIMELESS	8914	1.349954838	7.05e-05	0.000958153
STK38L	23012	1.351119253	0.001074773	0.008231324
CDCA4	55038	1.352606971	0.000220365	0.002394416
FLAD1	80308	1.35668794	6.11e-05	0.000849612
FBXL19	54620	1.357711935	0.000271562	0.002807026
ACOT7	11332	1.358024883	0.000500455	0.004539414
C6orf153	88745	1.358122037	1.99e-05	0.000349057
TIMM17A	10440	1.359135699	9.27e-05	0.001198396
CDC25B	994	1.36020001	3.61e-05	0.000565456
TPMT	7172	1.363017092	2.8e-06	7.23e-05
RTKN	6242	1.363109883	2.72e-05	0.00045373
YDJC	150223	1.364192517	0.000557555	0.004930569
NOP2	4839	1.364529776	9.41e-05	0.001211353
MAPK13	5603	1.365312125	1.17e-05	0.000228682
MRPS12	6183	1.368843977	0.000214188	0.002343811
CBX3	11335	1.371391061	9.81e-05	0.001255127
PPIL1	51645	1.37159224	1.18e-05	0.000229674
NACC1	112939	1.373068125	3.75e-05	0.000582934
TUBA1C	84790	1.373363905	0.000154809	0.001807669
CCDC99	54908	1.374021833	0.001290951	0.009538883
TGFBI	7045	1.375321285	0.000432573	0.004038565
MRPL51	51258	1.376424106	2.66e-05	0.000444765
NDUFA9	4704	1.380041429	0.000101449	0.001290114
FBXL6	26233	1.382584256	0.000278666	0.0028628
PLXNB3	5365	1.3834352	1.9e-05	0.000337049
DBN1	1627	1.384746898	0.000420281	0.003941565
TMEM8A	58986	1.385705374	1.71e-05	0.000309533
VPS72	6944	1.386079964	9.61e-05	0.001232861
POLD1	5424	1.38931398	0.0002986	0.003020798
CEP70	80321	1.391469382	0.000161284	0.001868801
TCF3	6929	1.392287803	7.2e-06	0.000155873
TARS	6897	1.394375292	0.000249897	0.002649321
DPY30	84661	1.395213614	2.32e-05	0.000397955
TSEN34	79042	1.396343203	8.22e-05	0.001085417
USP1	7398	1.400727618	1.77e-05	0.000318387
DDX39	10212	1.400823068	7.68e-06	0.00016445
MAZ	4150	1.401016813	0.00031927	0.003169521
NLRC5	84166	1.401619094	0.000642983	0.00550972
PPIH	10465	1.404362662	4.89e-05	0.000724766
ESRP1	54845	1.404685569	0.000485226	0.004435246
XPO5	57510	1.405021317	3.01e-05	0.000493876
FBXO41	150726	1.406282395	0.000118113	0.001455007
LSM2	57819	1.407078476	1.29e-05	0.000249809
SUV39H2	79723	1.408208676	0.000615838	0.005323887
RPUSD1	113000	1.40932988	0.000279161	0.002866111
DNMT3A	1788	1.410033663	4.13e-05	0.000630464
MAGOH	4116	1.41163125	0.000335732	0.003292055
CKAP4	10970	1.413681586	0.000231609	0.002499455
C1GALT1	56913	1.414524873	0.001063315	0.008166148
C1orf112	55732	1.4154157	0.000365804	0.003526395
SAMD9	54809	1.416384927	2.94e-05	0.000486968
PFDN6	10471	1.41668236	1.01e-05	0.000204422
ATP6V0B	533	1.416720837	0.000111241	0.001384749
SLC25A22	79751	1.419624163	1.43e-05	0.000270438
TOMM40	10452	1.419920509	0.000117951	0.001454082
LPCAT1	79888	1.421597582	2.53e-05	0.000426507
MEMO1	51072	1.424870594	1.63e-05	0.000298765
RIPK2	8767	1.427345175	8.98e-06	0.000186079
MYO10	4651	1.427618398	0.000302966	0.003061227
NASP	4678	1.432528059	8.36e-05	0.001099188
SLC20A1	6574	1.435972687	5.11e-06	0.00011859
SERPINH1	871	1.441602959	0.000205344	0.002260832
TAGAP	117289	1.442536746	0.001003062	0.007793703
SNRPG	6637	1.443808078	1.8e-05	0.000323233
UQCRH	7388	1.450011795	7.93e-06	0.000168609
B4GALT2	8704	1.450362873	0.000106565	0.0013386
MSH2	4436	1.450887678	8.32e-05	0.001096378
PTS	5805	1.451244092	0.000258057	0.00271845
PTP4A3	11156	1.45294488	0.000116075	0.001437373
DKC1	1736	1.453008197	0.000329062	0.00324772
SLC35B2	347734	1.453722566	1.65e-05	0.00030255
CCT5	22948	1.454378646	0.000153607	0.001803364
ABTB2	25841	1.457873718	0.000211396	0.002316688
MCM7	4176	1.457981778	0.000263599	0.002754089
SH3BP1	23616	1.461526474	1.08e-05	0.000215429
CHML	1122	1.462858405	0.001343172	0.009814092
PAQR8	85315	1.462869943	8.1e-05	0.001073692
COL5A1	1289	1.464109629	0.001001128	0.007785979
LSM4	25804	1.464401904	1.15e-05	0.000226399
ZNF480	147657	1.465458912	0.000109176	0.001363139
TAPBP	6892	1.47260823	2.39e-06	6.34e-05
LRRC61	65999	1.473274662	0.000336928	0.003301772
C1orf31	388753	1.474533171	0.00016711	0.001926873
INCENP	3619	1.478740788	7.84e-05	0.001045409
PARP1	142	1.479094194	7.61e-06	0.000163481
MAGED1	9500	1.481426674	4.7e-06	0.000110974
TEAD2	8463	1.482079952	0.000385876	0.003677134
C5orf13	9315	1.482549327	0.000844597	0.006841363
FAM83H	286077	1.484208425	6.98e-05	0.000949851
HSPE1	3336	1.485045584	0.000187054	0.002097112
TMEM14A	28978	1.485136263	1.58e-05	0.000291905
C19orf48	84798	1.485283104	0.000732324	0.006110132
IKBKE	9641	1.485493995	4.43e-05	0.000667633
TMEM79	84283	1.486224167	0.000273852	0.002822092
RAB23	51715	1.490571368	0.000258973	0.002724642
SDC1	6382	1.491938164	0.000103378	0.001310481
PSMG3	84262	1.492097919	5.24e-05	0.000758402
OAS2	4939	1.492680033	0.000260313	0.002731807
RCC2	55920	1.492745933	4.21e-05	0.000640808
APBA2	321	1.493499568	0.000759198	0.006281568
HDAC2	3066	1.494184304	9.49e-06	0.000193753
SLC39A7	7922	1.496610273	1.4e-06	4.09e-05
SMO	6608	1.497069019	0.000398398	0.003768304
NME1	4830	1.498772721	5.23e-05	0.000758402
AP1S1	1174	1.503915546	0.000149617	0.001765689
ASNS	440	1.504713314	9.53e-05	0.001223861
SLC25A10	1468	1.50722495	0.000265483	0.002766798
SEL1L3	23231	1.507816494	9.22e-06	0.000189427
C20orf20	55257	1.510510052	7.94e-05	0.001055929
NOD2	64127	1.510846224	0.000946077	0.007480642
MMP14	4323	1.513803199	1.1e-05	0.000217537
RSAD2	91543	1.514342395	3.48e-05	0.00054863
FHDC1	85462	1.518627234	0.000942079	0.007459696
PTPN22	26191	1.521362755	0.000451412	0.004183824
HLTF	6596	1.521409257	0.000462975	0.004279532
THOC4	10189	1.522210792	0.0001614	0.001868842
INTS7	25896	1.522373817	3.9e-05	0.00060068
PTK7	5754	1.52363994	0.000340405	0.003327983
LIG1	3978	1.524509849	2.35e-05	0.000401525
PKM2	5315	1.524878111	0.000314737	0.00314188
WDR76	79968	1.525211432	0.000238466	0.002555916
P4HA1	5033	1.52835588	4.66e-05	0.000696483
POP1	10940	1.528941682	0.000423327	0.003963405
TBC1D7	51256	1.529830476	6.54e-05	0.000897524
E2F5	1875	1.531437331	0.000157195	0.001832941
CDH11	1009	1.532141334	2.33e-05	0.000399393
MTHFD2	10797	1.533869819	1.95e-06	5.37e-05
CMPK2	129607	1.538724019	0.000189862	0.002124225
MAGOHB	55110	1.542386418	8.19e-05	0.001082268
EPCAM	4072	1.54243602	0.00015376	0.001803364
RMI1	80010	1.543181399	0.000232277	0.002502528
CALU	813	1.545288318	5.79e-05	0.000812919
ZSWIM4	65249	1.545952451	5.58e-05	0.000793191
ADAMTS7	11173	1.546352814	0.000585899	0.005110361
CALR	811	1.54758571	1.87e-05	0.000333383
H2AFY2	55506	1.549034635	4.85e-05	0.000719988
JAK3	3718	1.554339991	0.001007107	0.007812731
MRPL14	64928	1.556095433	4.9e-06	0.000114744
VANGL1	81839	1.556579768	9.16e-07	2.92e-05
PHTF1	10745	1.558244511	5.35e-05	0.000769279
TMEM45A	55076	1.558765985	0.001167017	0.008771673
APH1A	51107	1.560391238	0.000262219	0.002746594
EFNA4	1945	1.560578125	0.000203214	0.002240354
GGCT	79017	1.560827809	0.000194167	0.002157829
ST6GALNAC5	81849	1.567269246	0.001329026	0.009750697
FAP	2191	1.568239314	0.000147098	0.001740669
ZWILCH	55055	1.570304721	4.71e-05	0.000702771
RELB	5971	1.571412854	1.12e-05	0.000220497
FAM136A	84908	1.57256529	1.69e-05	0.000307717
EBP	10682	1.577565035	2.02e-06	5.5e-05
MBOAT2	129642	1.578440577	0.000317649	0.00315825
C21orf45	54069	1.582254795	0.000217369	0.002371182
RHOF	54509	1.584083515	0.000955181	0.007527495
MST4	51765	1.584855947	0.000103965	0.001315909
POSTN	10631	1.584998279	0.001226643	0.009108359
CENPN	55839	1.586285221	0.000104091	0.001315969
CHST11	50515	1.586602862	0.000531619	0.004759596
MSH6	2956	1.591386004	5.1e-05	0.000746262
TP53BP2	7159	1.591757087	1.72e-05	0.000311627
BAK1	578	1.595498014	3.14e-06	7.85e-05
BCL9	607	1.598119057	2.32e-05	0.000398021
PCNA	5111	1.601722188	1.04e-05	0.000210201
HDGF	3068	1.601997387	1.19e-06	3.59e-05
TMEM63B	55362	1.603567923	3.63e-07	1.33e-05
LOC541471	541471	1.605904323	0.000441362	0.004111359
CHTF18	63922	1.60845906	0.000244678	0.002602314
TFRC	7037	1.609336797	5.61e-05	0.000796878
MAL2	114569	1.609772114	7.43e-05	0.00100165
S100A16	140576	1.613083408	2.38e-05	0.000405974
CDK2AP1	8099	1.614073902	1.17e-05	0.000228682
IRF7	3665	1.616100523	0.000137244	0.001651406
LMNB2	84823	1.616351616	1.3e-06	3.84e-05
HLA-C	3107	1.623081988	0.000317901	0.00315825
PODXL2	50512	1.623175122	1.88e-05	0.000334876
MDK	4192	1.623276016	0.000530014	0.004747796
SERPINE2	5270	1.624868171	0.001042829	0.008042393
ST14	6768	1.625988873	0.000651118	0.005559312
HLA-B	3106	1.632151619	0.000181625	0.002054246
DHTKD1	55526	1.633475992	5.72e-05	0.000806455
FOXP4	116113	1.633903828	7.95e-06	0.000168609
WDHD1	11169	1.637459296	3.72e-05	0.000578936
PYCR1	5831	1.637861896	0.000129929	0.001573671
ORC6L	23594	1.638214664	1.44e-05	0.00027079
PIM2	11040	1.638633141	0.000617179	0.005332693
NUDT3	11165	1.639463513	4.88e-06	0.000114383
SNRPA1	6627	1.640072868	4.95e-06	0.000115268
POLE2	5427	1.6454398	0.000498367	0.004533715
STAT1	6772	1.646384203	9.81e-05	0.001255127
RAD54B	25788	1.647369397	0.000446557	0.004150428
RNASEH2A	10535	1.647763332	7.93e-06	0.000168609
GPR172A	79581	1.648314557	1.01e-06	3.15e-05
CHAF1B	8208	1.6520323	3.23e-05	0.000521652
BCL11B	64919	1.655485293	0.001189242	0.008906427
HLA-F	3134	1.659369065	3e-05	0.00049359
SMYD3	64754	1.661071763	0.000168022	0.001933359
ZYG11A	440590	1.661200812	0.000876341	0.007050274
TEAD4	7004	1.662365277	0.000233102	0.002509781
NFKBIL2	4796	1.664222658	6.34e-05	0.000876841
TNFSF13B	10673	1.664375012	0.001020014	0.00789951
SLC35F2	54733	1.667928751	5.59e-06	0.000126616
FANCD2	2177	1.669129476	7.25e-06	0.000156598
KDELR3	11015	1.670253615	5.45e-06	0.000124435
LMO7	4008	1.678338784	0.000223645	0.00242053
GGH	8836	1.678953205	0.000377549	0.003618788
VANGL2	57216	1.680192698	1.52e-05	0.000283
TCF19	6941	1.68048483	5.76e-06	0.000129245
ZNF469	84627	1.680558918	0.00013768	0.001655457
MT1F	4494	1.683909421	0.000142852	0.001704052
SLC12A8	84561	1.688865568	2.46e-05	0.000417305
UQCRHL	440567	1.689822654	2.88e-05	0.000477439
POC1A	25886	1.694263628	0.000419173	0.003935621
MICB	4277	1.694821435	0.000969248	0.007609421
CIITA	4261	1.696110815	0.001107553	0.00843174
TMSB10	9168	1.697593027	2.95e-05	0.0004876
MIF	4282	1.697921684	0.000172622	0.001971239
C12orf48	55010	1.699320469	0.000554226	0.004913091
PFKP	5214	1.699755892	0.00036879	0.003553115
SUSD4	55061	1.700098741	0.000259235	0.002724921
IRAK1	3654	1.703344067	6.35e-05	0.000878798
NCRNA00152	112597	1.707641145	0.000358794	0.003477011
SLC39A4	55630	1.707706728	4.73e-05	0.000704787
SLC16A1	6566	1.709685736	3.38e-05	0.000536035
GCAT	23464	1.711467179	0.000150319	0.001772721
UBASH3B	84959	1.711776664	6.43e-05	0.000884967
TUBB	203068	1.713510741	3.53e-06	8.6e-05
C1orf59	113802	1.71915649	5.11e-07	1.79e-05
SMPDL3B	27293	1.719310592	0.000102742	0.001303414
CCDC77	84318	1.721221998	2.84e-05	0.000472272
MCM3	4172	1.724183217	2.16e-06	5.83e-05
CABLES2	81928	1.72723618	3.14e-05	0.000510372
RUNX3	864	1.730139661	1.93e-05	0.000341965
SERPINB8	5271	1.730929442	0.000911742	0.007271569
MBOAT7	79143	1.733022091	7.48e-05	0.001007338
PTPRC	5788	1.733166896	0.000988273	0.007714951
SC65	10609	1.734322222	3.12e-06	7.8e-05
FANCA	2175	1.74205432	0.000115515	0.001431501
C1QTNF6	114904	1.743090836	5.44e-05	0.000779366
SERTAD4	56256	1.743124154	0.001119683	0.008504562
SFXN1	94081	1.745236089	0.000124866	0.001525272
C9orf140	89958	1.745867599	0.000879493	0.007065345
MSL3L2	151507	1.749500501	0.000327779	0.003238917
GMPS	8833	1.751104264	2.15e-05	0.000372272
MTHFD1L	25902	1.751735218	6.29e-05	0.000870753
CD24	100133941	1.752887942	2.34e-05	0.000401525
BCL2L12	83596	1.753369694	1.56e-05	0.000289484
MCM6	4175	1.75580006	4.18e-07	1.5e-05
C7orf13	129790	1.758512714	0.000431086	0.004026948
CLSTN3	9746	1.761533847	5.3e-08	2.71e-06
KLK10	5655	1.762796941	0.000837375	0.006786175
PDIA4	9601	1.767601506	1.41e-05	0.000267713
B4GALNT4	338707	1.768031898	5.27e-05	0.000761266
MICAL2	9645	1.771809026	3.75e-08	2.06e-06
PIF1	80119	1.771865195	0.000355982	0.003455816
HIST2H2AA3	8337	1.772045577	8.32e-05	0.001096378
CKAP2	26586	1.77388595	5.33e-05	0.000767804
SEMA5B	54437	1.778133902	0.000311996	0.003123789
S100A14	57402	1.778706054	0.000376885	0.00361639
LRFN1	57622	1.783384581	0.000918664	0.007305695
MAST1	22983	1.784177423	0.001081225	0.008270515
PAFAH1B3	5050	1.786023987	2.1e-05	0.000365261
