GeneSymbol	EntrezID	logFC	PValue	FDR
PKMYT1	9088	3.146195658	1.8e-09	1.77e-07
ERCC6L	54821	3.150282489	1.04e-08	7.57e-07
E2F7	144455	3.151399209	2.1e-07	8.47e-06
NCR3	259197	3.15223862	0.000178067	0.002023665
MMP3	4314	3.155134883	2.53e-08	1.49e-06
HMGB3	3149	3.1562959	3.07e-11	5.99e-09
HHIPL2	79802	3.173475666	5.66e-05	0.000801128
C4orf7	260436	3.175978855	0.000288824	0.002939833
SHC4	399694	3.176232497	0.000660635	0.005614553
GPR18	2841	3.181306583	4.45e-05	0.00067025
C12orf70	341346	3.183447596	4.61e-05	0.000690784
NUSAP1	51203	3.184344045	5.39e-12	1.35e-09
FBN3	84467	3.189974009	1.07e-06	3.3e-05
STAP1	26228	3.19162755	0.000269137	0.002791745
CD79A	973	3.203009962	8.56e-05	0.001118617
LRRC14B	389257	3.204558681	0.000818378	0.006670255
VSTM2L	128434	3.217325779	1.07e-05	0.000215115
LY6D	8581	3.226708085	0.000936153	0.007419864
HIST1H2BH	8345	3.227744543	2.15e-05	0.000371748
POPDC3	64208	3.229438333	0.000481742	0.004415571
C6orf15	29113	3.232287887	0.000640776	0.005504792
CXorf49B	100132994	3.234008802	0.000873329	0.007029453
MEX3A	92312	3.242291425	3.7e-08	2.04e-06
TIGIT	201633	3.243728112	3.54e-07	1.31e-05
PRC1	9055	3.245201611	1.6e-09	1.61e-07
ZFP42	132625	3.246634909	0.000409408	0.003859235
AURKAPS1	6791	3.248230459	0.000469735	0.004330219
FAM111B	374393	3.249152705	1.43e-09	1.47e-07
SIM2	6493	3.253144896	7.34e-12	1.79e-09
HOXC13	3229	3.255016334	6.36e-09	5e-07
TK1	7083	3.255421249	2.05e-08	1.25e-06
COL19A1	1310	3.256963069	0.000851502	0.0068872
UNC13A	23025	3.258048303	1.69e-06	4.81e-05
FOXP3	50943	3.274888249	1.58e-08	1.03e-06
KREMEN2	79412	3.277128853	6.64e-06	0.000145443
SPC24	147841	3.279535348	2.67e-06	6.94e-05
FAM19A3	284467	3.289037515	0.000489356	0.004470531
STAG3	10734	3.289451998	3.45e-05	0.000546016
AURKA	6790	3.290902456	2.77e-12	7.91e-10
PAX1	5075	3.293750427	0.000182199	0.002059336
MCM10	55388	3.297591118	1.32e-09	1.37e-07
TMSB15A	11013	3.298041849	8.48e-06	0.000177542
CDCA2	157313	3.301312974	1.25e-10	1.87e-08
KRT16	3868	3.316159496	6.74e-07	2.28e-05
NETO1	81832	3.316552898	0.000117896	0.001454082
SKA3	221150	3.320977808	2.66e-07	1.03e-05
ARNTL2	56938	3.325183409	1.05e-08	7.64e-07
FAM64A	54478	3.331915392	3.87e-07	1.4e-05
FAM72B	653820	3.334747926	6.14e-08	3.04e-06
WNT16	51384	3.346012081	0.000581137	0.005076834
E2F8	79733	3.35075857	9.29e-09	6.97e-07
C19orf21	126353	3.354563194	0.000402265	0.00380271
GPR55	9290	3.359835558	3.33e-05	0.000532098
C1orf106	55765	3.363448877	2.18e-07	8.74e-06
VGF	7425	3.371624063	0.000727489	0.006079883
C19orf33	64073	3.376418549	1.85e-05	0.000330595
FAM54A	113115	3.384187433	2.17e-09	2.03e-07
HJURP	55355	3.385563469	1.19e-11	2.7e-09
LCTL	197021	3.38661759	2e-06	5.49e-05
C6orf127	340204	3.386801154	0.000429652	0.004015814
RAET1K	646024	3.389156508	1.14e-05	0.000224007
CCNE1	898	3.391657504	4.3e-09	3.62e-07
CDCA5	113130	3.394318732	1.81e-12	5.55e-10
FAM72D	728833	3.399900833	3.25e-08	1.84e-06
CLGN	1047	3.401909973	0.000185199	0.002083297
KIF23	9493	3.404082021	1.84e-11	4.02e-09
IGLON5	402665	3.410650934	0.000420548	0.003941837
CASC5	57082	3.421925656	1.01e-09	1.11e-07
ADAM8	101	3.433310419	2.63e-15	2.18e-12
RLTPR	146206	3.438202713	1.87e-10	2.65e-08
LRRC15	131578	3.443475556	1.71e-06	4.82e-05
NCAPG	64151	3.446242131	2.44e-11	5.06e-09
COL22A1	169044	3.45008892	3.15e-05	0.000510903
C5orf46	389336	3.458024603	1.03e-05	0.000207512
PTPRR	5801	3.458677163	0.00019682	0.002181467
CTXN1	404217	3.459812292	8.73e-15	6.29e-12
GPRIN1	114787	3.476506462	1.03e-10	1.59e-08
MS4A15	219995	3.476863037	0.000107467	0.001346866
UBE2T	29089	3.47950794	1.63e-10	2.36e-08
TAS1R3	83756	3.483789778	0.000252482	0.002673314
OTX1	5013	3.485771593	1.21e-07	5.33e-06
BUB1B	701	3.495231824	1.32e-10	1.95e-08
PDE4D	5144	3.495410248	4.94e-05	0.000729346
SLC16A3	9123	3.50448795	2.85e-07	1.1e-05
PTTG1	9232	3.509190784	1.48e-11	3.28e-09
TROAP	10024	3.512869364	1.69e-08	1.09e-06
DDN	23109	3.526813637	0.000285763	0.002919433
CD207	50489	3.52926389	1.71e-06	4.82e-05
SIGLEC12	89858	3.544654647	0.00039782	0.003764984
FAM19A4	151647	3.565418461	0.000216732	0.002365792
LDHC	3948	3.573552562	1.14e-06	3.47e-05
MELK	9833	3.577207211	6.62e-13	2.19e-10
FOXD1	2297	3.581226679	6.64e-05	0.000905539
KIAA1644	85352	3.591455097	4.12e-06	9.86e-05
LIN28A	79727	3.596030797	0.000137792	0.001655596
FAM72A	729533	3.597866198	9.3e-08	4.29e-06
NOXO1	124056	3.605103427	8.21e-07	2.65e-05
NEK2	4751	3.614275771	4.79e-12	1.26e-09
C1orf65	164127	3.626899185	7.3e-05	0.000987376
RAD54L	8438	3.627066311	3.59e-11	6.68e-09
DQX1	165545	3.634134958	1.98e-05	0.000348195
PBK	55872	3.643516857	2.06e-09	1.98e-07
KRT6C	286887	3.647171479	2.85e-06	7.31e-05
EXO1	9156	3.648884413	8.99e-11	1.42e-08
KRT6B	3854	3.651037251	1.55e-05	0.000288367
MKI67	4288	3.651306407	5.99e-14	2.92e-11
CXorf22	170063	3.65697558	0.000109641	0.001367911
COMP	1311	3.659224856	3.35e-05	0.000533487
CHRDL2	25884	3.672142951	9.31e-05	0.001202675
HMMR	3161	3.682004473	1.22e-10	1.85e-08
CDK1	983	3.683329547	7.45e-12	1.79e-09
KRT86	3892	3.691437941	1.85e-05	0.000330583
HOXB9	3219	3.692685616	9.01e-07	2.88e-05
CCNA2	890	3.693236839	7.21e-11	1.17e-08
AURKB	9212	3.702414971	2.31e-09	2.14e-07
IL21R	50615	3.717665261	1.02e-08	7.49e-07
NIPAL4	348938	3.720500601	9.24e-05	0.001195688
CKAP2L	150468	3.725115598	1.99e-11	4.29e-09
SLCO5A1	81796	3.725709978	2.98e-08	1.72e-06
LGR5	8549	3.731779161	0.001357892	0.009901149
DEPDC1B	55789	3.739438279	6.49e-10	7.63e-08
GPR115	221393	3.740785777	0.000782895	0.006434189
CLSPN	63967	3.743444691	4.98e-11	8.51e-09
ADAMDEC1	27299	3.753893833	2.98e-07	1.13e-05
TUBB3	10381	3.759551339	6.98e-10	8.04e-08
IL17REL	400935	3.760292007	0.000167288	0.00192759
FCRL3	115352	3.761589293	0.000105989	0.001334397
C14orf39	317761	3.763959844	0.001259868	0.00933834
NDC80	10403	3.768648098	3.62e-11	6.68e-09
ESPNP	284729	3.782706933	3.08e-07	1.16e-05
CDCA3	83461	3.791977297	8.59e-12	1.98e-09
TMEM132E	124842	3.794320593	0.000472444	0.004339942
EMID2	136227	3.802382472	0.00046511	0.004291594
TNFRSF9	3604	3.81275649	3.41e-08	1.92e-06
KIF20A	10112	3.82108289	2.39e-11	5.06e-09
TOP2A	7153	3.823844239	1.03e-16	1.85e-13
NUF2	83540	3.831888936	3.24e-12	9.11e-10
BLK	640	3.831893183	0.000168396	0.001936317
INHBA	3624	3.843209251	2.65e-11	5.29e-09
CXCL11	6373	3.856681204	1.51e-08	1e-06
KIF2C	11004	3.863532195	3.56e-13	1.21e-10
IQGAP3	128239	3.866349381	1.35e-14	8.42e-12
SYT13	57586	3.876231794	4.62e-09	3.83e-07
FCRLA	84824	3.883658003	6.02e-05	0.000840048
CEP55	55165	3.885059018	1.23e-13	5.53e-11
HIST1H2BJ	8970	3.886214987	1.35e-05	0.000257706
COL9A1	1297	3.88791828	0.000827997	0.006723315
HAPLN1	1404	3.89164256	0.000239777	0.002568306
EPR1	8475	3.893627904	1.08e-08	7.76e-07
GJB3	2707	3.897041396	5.96e-06	0.000132736
PI3	5266	3.905926891	2.64e-05	0.000441528
CST6	1474	3.927839259	3.34e-05	0.000532653
KIFC1	3833	3.930819835	1.37e-14	8.42e-12
FNDC1	84624	3.940794996	2.31e-10	3.19e-08
GRM4	2914	3.950689069	7.95e-07	2.61e-05
C4orf26	152816	3.954451377	5.34e-05	0.000768726
HIST1H2AG	8969	3.956203053	1.05e-06	3.25e-05
UBD	10537	3.957036586	4.12e-08	2.2e-06
CCNB2	9133	3.958521081	2.82e-11	5.57e-09
KLK4	9622	3.964909802	5.91e-06	0.000132123
TTK	7272	3.983234146	1.8e-13	7.26e-11
LTA	4049	3.986022032	1.18e-06	3.56e-05
DLGAP5	9787	3.990283714	2.36e-14	1.36e-11
CDC20	991	3.994693002	3.83e-16	4.39e-13
CBX2	84733	4.003236169	3.97e-16	4.39e-13
IL8	3576	4.016559822	3.93e-08	2.13e-06
MYCN	4613	4.017030928	1.33e-05	0.000254697
MAEL	84944	4.018389692	7.77e-05	0.001036867
HIST1H3G	8355	4.018592321	0.001125634	0.00853803
KIR2DL4	3805	4.023601165	0.000849559	0.006878192
LSAMP	4045	4.03143549	0.000145814	0.001729434
TPX2	22974	4.034033707	8.33e-16	7.67e-13
CXCL10	3627	4.039137597	1.15e-12	3.66e-10
GPR158	57512	4.051916701	5.58e-06	0.000126554
ANKRD34B	340120	4.06434764	0.0013354	0.009787779
IFNG	3458	4.070490289	6.15e-06	0.000136086
AIM2	9447	4.070491759	2.09e-08	1.26e-06
ORM1	5004	4.078301734	3.82e-05	0.000589264
CDKN2A	1029	4.086295859	6.35e-11	1.05e-08
HOXB13	10481	4.092090244	0.001342073	0.009814092
EN1	2019	4.097836102	2.37e-05	0.000405163
UBE2C	11065	4.098733122	3.48e-13	1.21e-10
PGLYRP4	57115	4.106121492	2.17e-05	0.000375478
ARL9	132946	4.129008559	5.35e-07	1.86e-05
KIF14	9928	4.133127599	3.57e-13	1.21e-10
C15orf54	400360	4.149204002	7.87e-05	0.00104766
BIRC5	332	4.150620655	3.87e-11	6.98e-09
MT1H	4496	4.152943564	0.000178983	0.002031295
SCUBE3	222663	4.15570474	4.06e-06	9.73e-05
MKRN3	7681	4.158120322	3.37e-11	6.42e-09
CDCA8	55143	4.164328449	2.39e-16	3.31e-13
SPIB	6689	4.173840317	1.36e-07	5.86e-06
OIT3	170392	4.186154438	3e-06	7.63e-05
AIM1L	55057	4.191692131	4.7e-08	2.45e-06
ULBP2	80328	4.201359596	6.16e-08	3.04e-06
GJB6	10804	4.201645728	0.000271119	0.002804378
KIF4A	24137	4.202967354	1.02e-17	3.37e-14
CENPA	1058	4.223457717	2.6e-10	3.56e-08
DEPDC1	55635	4.255180679	1.85e-13	7.31e-11
RLBP1	6017	4.269548251	0.000154114	0.001803364
TRIML2	205860	4.270305107	6.46e-05	0.000888059
MYBL2	4605	4.287868118	3.8e-14	2.03e-11
CXCL9	4283	4.308881521	1.78e-09	1.75e-07
CENPF	1063	4.312170168	2.94e-15	2.32e-12
PLK1	5347	4.325999115	2.24e-13	8.63e-11
LPPR5	163404	4.327870346	8.88e-05	0.001153847
LTB	4050	4.354991917	2.12e-10	2.98e-08
CNIH2	254263	4.36520662	1.75e-09	1.75e-07
PHEX	5251	4.385286229	5.38e-06	0.000123486
CXCL5	6374	4.393515867	0.000154733	0.001807669
CAPSL	133690	4.395235029	0.000199127	0.002205563
KIAA1199	57214	4.400763434	2.45e-13	9.23e-11
XIRP1	165904	4.407061956	5.46e-08	2.77e-06
VPREB3	29802	4.419729069	1.46e-06	4.24e-05
HIST1H2AJ	8331	4.423611189	6.44e-06	0.00014167
HOXD13	3239	4.428198254	0.001087776	0.008307881
BUB1	699	4.449045698	4.55e-16	4.43e-13
RFPL2	10739	4.452927913	1.43e-05	0.000270438
ANLN	54443	4.454116815	1.33e-14	8.42e-12
RAET1L	154064	4.507018651	6.84e-06	0.000149288
TMEM92	162461	4.521275028	1.12e-08	8.03e-07
FLJ44054	643365	4.534112602	0.000146261	0.001733495
FCRL1	115350	4.548721304	1.7e-05	0.000308326
SCGB3A2	117156	4.549415427	5.63e-05	0.00079787
A2ML1	144568	4.577387388	2.62e-11	5.29e-09
C19orf57	79173	4.582357275	1.56e-05	0.000289382
CNR2	1269	4.58558264	8.1e-05	0.001073692
FOXM1	2305	4.588150381	2.38e-14	1.36e-11
SYCP1	6847	4.593465549	0.000649224	0.005548859
HIST1H2BO	8348	4.595864713	0.000237557	0.002549425
FLJ45079	400624	4.632343405	0.001352727	0.009872165
CASP14	23581	4.641250144	0.000908573	0.007254072
ASPM	259266	4.645848378	3.15e-16	4.01e-13
GNG4	2786	4.649453835	4.91e-06	0.000114744
FCRL4	83417	4.649554872	3.05e-06	7.7e-05
HOTAIR	100124700	4.680975683	1.98e-09	1.91e-07
KLHDC7B	113730	4.691851662	4.09e-07	1.48e-05
KCNJ4	3761	4.703143273	0.000714319	0.005997028
CCR8	1237	4.728160351	3.19e-10	4.1e-08
S100A2	6273	4.767656679	2.84e-06	7.31e-05
IGFL1	374918	4.773197456	0.000193128	0.002148811
SOX11	6664	4.7770393	2.09e-09	1.99e-07
CLEC5A	23601	4.779551675	1.85e-12	5.58e-10
PITX1	5307	4.794406126	7.79e-17	1.61e-13
ZBED2	79413	4.821793076	1.19e-09	1.29e-07
SCEL	8796	4.82990212	1.8e-07	7.39e-06
EYA4	2070	4.842550831	0.000607383	0.005269014
LOC285548	285548	4.876211817	0.000127825	0.001552563
LEMD1	93273	4.880342064	2e-06	5.49e-05
IGFBPL1	347252	4.884575174	3.68e-07	1.34e-05
HMSD	284293	4.884901128	8.16e-08	3.84e-06
CD19	930	4.887482102	1.28e-06	3.8e-05
MS4A1	931	4.900436167	1.7e-06	4.81e-05
COL11A1	1301	4.902921824	9.21e-15	6.36e-12
HOXC11	3227	4.907089401	1.17e-10	1.8e-08
DAZL	1618	4.925324371	0.000141094	0.001687936
CNTNAP2	26047	4.928800679	7.32e-11	1.18e-08
ECEL1	9427	4.932029571	0.000286533	0.002925494
LCN8	138307	4.932168768	0.000737891	0.006138974
ZNF804A	91752	4.979902385	3.36e-05	0.000533487
TMEM215	401498	5.02285245	0.000347793	0.003384559
FOXD3	27022	5.023531462	4.83e-06	0.000113519
KCNJ6	3763	5.055842578	1.36e-08	9.25e-07
CCL20	6364	5.061366476	1.01e-07	4.56e-06
PCSK9	255738	5.080784488	5.97e-06	0.000132796
FAM83A	84985	5.108179888	5.85e-07	2.02e-05
HTR1D	3352	5.11617416	7.86e-07	2.59e-05
ONECUT2	9480	5.124225176	5.36e-08	2.74e-06
PPAPDC1A	196051	5.135873345	7.06e-09	5.47e-07
SLC7A5	8140	5.143497205	1.87e-09	1.82e-07
L1CAM	3897	5.152590069	2.28e-07	9.08e-06
CDH19	28513	5.180631444	4.47e-05	0.000672144
SIX3	6496	5.190507892	2.59e-06	6.75e-05
KLHL34	257240	5.214853694	5.37e-10	6.6e-08
LOC441177	441177	5.236242734	0.000479841	0.004400578
CD1A	909	5.248601229	2.62e-07	1.02e-05
PAX5	5079	5.249479426	2.33e-06	6.18e-05
ZIC4	84107	5.302732704	1.78e-10	2.55e-08
TBX20	57057	5.307174855	0.000100166	0.001276768
CXCR5	643	5.323962645	6.22e-07	2.12e-05
OGDHL	55753	5.334927243	6.56e-05	0.000898867
TLX1	3195	5.341310121	2e-05	0.000349776
PON1	5444	5.352410472	3.79e-05	0.000586504
MMP12	4321	5.412175668	3.15e-08	1.81e-06
VAX1	11023	5.414646426	0.000200175	0.002212731
ACTA1	58	5.423607725	3.09e-06	7.77e-05
GABBR2	9568	5.428386078	1.24e-08	8.7e-07
COL2A1	1280	5.434420225	0.000264585	0.002760904
KRT81	3887	5.520361535	1.93e-05	0.000341965
SYT14	255928	5.566158053	8.79e-06	0.000182883
HMX2	3167	5.599211695	0.000921351	0.007322487
COL9A3	1299	5.604847385	6.58e-09	5.14e-07
LOC84740	84740	5.642609501	6.55e-08	3.2e-06
MUC13	56667	5.65280109	4.37e-05	0.000660573
CR2	1380	5.699843793	2.11e-08	1.26e-06
MMP11	4320	5.700121966	1.67e-22	1.39e-18
TCL1A	8115	5.701939237	3.94e-07	1.43e-05
C6orf176	90632	5.73537019	5.3e-05	0.000764698
SERPINB4	6318	5.791027586	0.000490222	0.004475976
GJB2	2706	5.812309706	5.1e-14	2.56e-11
INA	9118	5.844114594	3e-09	2.65e-07
LHX2	9355	5.86768225	1.06e-09	1.16e-07
CCL11	6356	5.877660347	2.4e-09	2.19e-07
INHA	3623	5.898903941	8.73e-07	2.8e-05
KLK12	43849	5.946247835	6.86e-05	0.000935144
TBR1	10716	5.972607847	4.71e-06	0.000110974
NMU	10874	6.087003686	9.62e-09	7.18e-07
ZNF560	147741	6.100888054	1.74e-05	0.0003134
R3HDML	140902	6.265202801	0.000240338	0.002572658
WT1	7490	6.279565161	2.76e-07	1.06e-05
CXorf61	203413	6.289449774	5.18e-05	0.000755082
C4orf40	401137	6.299390156	3.53e-06	8.6e-05
MMP13	4322	6.31392409	4.91e-05	0.000726601
PRDM13	59336	6.322504605	9.03e-06	0.000186669
SOHLH1	402381	6.336172935	0.000418541	0.003931916
CA9	768	6.396273081	1.44e-10	2.11e-08
LHX8	431707	6.396413358	1.73e-06	4.87e-05
HORMAD1	84072	6.484106317	7.53e-08	3.58e-06
SPINK6	404203	6.511621054	0.000293903	0.002984208
ZIC1	7545	6.548649771	2.19e-12	6.49e-10
ANKRD1	27063	6.6410261	3.52e-07	1.3e-05
C6orf218	221718	6.723785949	5.78e-08	2.91e-06
FCAMR	83953	6.868263407	2.22e-08	1.33e-06
C17orf93	360205	6.868500293	5.79e-09	4.64e-07
COL10A1	1300	6.942523336	2.5e-24	4.15e-20
DMRTA2	63950	6.984684036	4.76e-11	8.22e-09
EPYC	1833	6.995925647	8.4e-12	1.96e-09
POU4F1	5457	7.009837628	2.62e-11	5.29e-09
NKX2-5	1482	7.038669905	4.35e-16	4.43e-13
GNG13	51764	7.204665201	4.26e-05	0.00064582
CST4	1472	7.225957161	1.56e-07	6.46e-06
SERPINB7	8710	7.243220377	1.76e-09	1.75e-07
CCKBR	887	7.26999837	4.88e-09	3.99e-07
MSLN	10232	7.313059389	3.2e-10	4.1e-08
REG1A	5967	7.314510781	0.000443938	0.004133037
PRAME	23532	7.322657243	1.23e-16	1.85e-13
PRB2	653247	7.323185218	8.24e-06	0.000173367
KIF1A	547	7.357650867	1.22e-16	1.85e-13
NPBWR1	2831	7.415927035	0.000547816	0.004873035
SALL3	27164	7.444252699	0.000498733	0.004533715
IL1F5	26525	7.483243877	1.76e-08	1.11e-06
IBSP	3381	7.646883902	1.37e-08	9.25e-07
HCRTR2	3062	7.704419288	6.07e-07	2.08e-05
FOXG1	2290	7.862539902	8.16e-07	2.64e-05
S100P	6286	7.926884901	4.5e-11	7.86e-09
ROS1	6098	8.052806061	2.02e-06	5.5e-05
STRA8	346673	8.088860447	2.8e-06	7.23e-05
SRD5A2	6716	8.099433708	9.73e-08	4.43e-06
ACTL8	81569	8.253465834	6.73e-07	2.28e-05
LIN28B	389421	8.255852577	8.25e-08	3.88e-06
CST1	1469	8.419437814	1.67e-07	6.86e-06
TLX3	30012	8.601491108	1.85e-08	1.15e-06
TRIM15	89870	8.807329685	2.58e-08	1.51e-06
WIT1	51352	8.814689503	4.5e-11	7.86e-09
NKX2-2	4821	9.006688346	0.00059247	0.00515953
SERPINB3	6317	9.461125594	1.24e-06	3.71e-05
MMP1	4312	9.495794722	3.04e-20	1.68e-16
SEMG1	6406	9.775855825	2.97e-05	0.000489385
SOX2	6657	9.860487108	1.13e-05	0.000223333
ARL14	80117	10.19422101	4.84e-07	1.71e-05
SERPINB11	89778	10.39347592	6.13e-05	0.000851085
FTHL17	53940	10.4269289	3.56e-05	0.000558341
SEMG2	6407	10.73281081	9.04e-05	0.001172807
NCAN	1463	10.99440458	5.83e-07	2.01e-05
