Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR036396:Cyt_P450_sf	6	8.450704225352112	3.0610840578669965E-6	CYP2C9, CYP2D6, CYP1A1, CYP3A4, CYP7A1, CYP8B1	71	67	20808	26.245112465839814	9.698944795418774E-4	4.85181823171919E-4	4.8059019708511844E-4
GOTERM_CC_DIRECT	GO:0005615~extracellular space	20	28.169014084507044	8.564233551714634E-6	VWF, MMP2, CLEC11A, APOA1, PCOLCE, AFP, PGC, JCHAIN, LGALS4, ACTA2, ATP4A, FCGR3A, AZGP1, IGKC, ALB, PECAM1, IGLC1, CD14, APOE, APOB	71	1867	20795	3.137518199717857	0.001514727470375954	4.681123142649338E-4	4.0728416043389723E-4
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	7	9.859154929577464	1.0578809361919408E-5	C1QB, IGKC, ALB, APOA1, IGLC1, APOE, JCHAIN	71	148	20795	13.8527788351732	0.0018707072032819738	4.681123142649338E-4	4.0728416043389723E-4
KEGG_PATHWAY	hsa04976:Bile secretion	7	9.859154929577464	1.603506945965336E-5	ABCC2, UGT1A1, NR1H4, CYP3A4, CYP7A1, UGT2B7, ABCG2	53	90	8534	12.523689727463312	0.0023543981560221194	0.0023571552105690436	0.00224490972435147
GOTERM_BP_DIRECT	GO:0008203~cholesterol metabolic process	6	8.450704225352112	1.6119055188765165E-5	CYP2C9, CYP2D6, APOA1, APOE, APOB, CYP3A4	71	88	19478	18.704865556978234	0.013321633047787884	0.0026822107834105235	0.002633853617844228
BIOCARTA	h_nuclearRsPathway:Nuclear Receptors in Lipid Metabolism and Toxicity	6	8.450704225352112	1.791893935486118E-5	CYP2C9, ABCC2, NR1I2, NR1H4, CYP3A4, CYP8B1	18	35	1622	15.447619047619046	7.881296581860875E-4	7.884333316138919E-4	6.630007561298637E-4
GOTERM_BP_DIRECT	GO:0006955~immune response	11	15.492957746478872	2.0958493674794395E-5	CD2, AZGP1, FCGR3A, FCGR3B, CXCR1, IGKC, CXCR2, PECAM1, IGLC1, AFP, JCHAIN	71	537	19478	5.619587169197681	0.01728649353857903	0.002906244456238156	0.00285384822205117
GOTERM_CC_DIRECT	GO:0030667~secretory granule membrane	6	8.450704225352112	2.417549280203202E-5	FCGR3B, CXCR1, CXCR2, PECAM1, CD14, CD44	71	102	20795	17.228666114333056	0.004269971587953725	8.558124451919334E-4	7.446051783025862E-4
UP_KW_MOLECULAR_FUNCTION	KW-0503~Monooxygenase	6	8.450704225352112	3.1785938197366985E-5	CYP2C9, CYP2D6, CYP1A1, CYP3A4, CYP7A1, CYP8B1	50	90	11952	15.936	0.0011119068912565089	0.0011125078369078445	0.0011125078369078445
UP_SEQ_FEATURE	BINDING:axial binding residue	6	8.450704225352112	4.4257535939034044E-5	CYP2C9, CYP2D6, CYP1A1, CYP3A4, CYP7A1, CYP8B1	71	115	20675	15.192896509491733	0.021626428149793542	0.02186322275388282	0.02186322275388282
GOTERM_CC_DIRECT	GO:0062023~collagen-containing extracellular matrix	9	12.676056338028168	4.617088276349226E-5	LGALS4, C1QB, MARCO, AZGP1, VWF, MMP2, APOA1, PCOLCE, APOE	71	387	20795	6.811333114968883	0.008139131354117146	0.0013620410415230218	0.0011850526575963014
INTERPRO	IPR017972:Cyt_P450_CS	5	7.042253521126761	4.967535952159206E-5	CYP2C9, CYP2D6, CYP1A1, CYP3A4, CYP7A1	71	60	20808	24.422535211267608	0.015624136834963998	0.005249029656114894	0.005199354296593302
GOTERM_BP_DIRECT	GO:0042759~long-chain fatty acid biosynthetic process	4	5.633802816901409	5.6437490313143184E-5	CYP2C9, CYP2D6, CYP1A1, CYP3A4	71	21	19478	52.25486250838364	0.045871878256334875	0.0060933332122774745	0.0059834774452292025
GOTERM_BP_DIRECT	GO:0042632~cholesterol homeostasis	6	8.450704225352112	5.8589742425744943E-5	HNF4A, NR1H4, APOA1, APOE, APOB, CYP7A1	71	115	19478	14.31328842620943	0.04757897973992842	0.0060933332122774745	0.0059834774452292025
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	7	9.859154929577464	7.383786819597432E-5	CD2, CDH5, EPCAM, ITGB2, PECAM1, SOX9, CD44	71	196	19478	9.79778672032193	0.05958628151329859	0.006825900704338959	0.006702837590679002
UP_KW_CELLULAR_COMPONENT	KW-0492~Microsome	6	8.450704225352112	7.422331506466336E-5	CYP2C9, CYP2D6, CYP1A1, CYP3A4, CYP7A1, CYP8B1	67	119	18049	13.582591245453406	0.002224304652540865	0.002226699451939901	0.002004029506745911
UP_KW_PTM	KW-1015~Disulfide bond	32	45.07042253521127	1.017329989773196E-4	C1QB, ITGB2, AK2, CD3G, AFP, CD3E, JCHAIN, LIPF, FCGR3A, FCGR3B, CXCR1, IGKC, EPCAM, CXCR2, IGLC1, CD14, APOB, PDGFRA, VWF, MMP2, CLEC11A, PCOLCE, PGC, CD2, ATP4B, MARCO, AZGP1, ALB, PECAM1, CD68, CD44, ABCG2	62	3956	14316	1.8677712906487491	0.0019311582182833797	0.0013430650162916857	0.0013430650162916857
GOTERM_BP_DIRECT	GO:0042178~xenobiotic catabolic process	4	5.633802816901409	1.0891662206929393E-4	CYP2C9, CYP2D6, NR1I2, CYP3A4	71	26	19478	42.20585048754063	0.08663853245163133	0.009061862956165255	0.008898488023061315
KEGG_PATHWAY	hsa00980:Metabolism of xenobiotics by cytochrome P450	6	8.450704225352112	1.1063765926300247E-4	CYP2C9, UGT1A1, CYP2D6, CYP1A1, CYP3A4, UGT2B7	53	79	8534	12.229281108192023	0.01613308067912278	0.008131867955830681	0.007744636148410173
GOTERM_BP_DIRECT	GO:0071402~cellular response to lipoprotein particle stimulus	3	4.225352112676056	1.2642858626694145E-4	APOA1, APOE, APOB	71	5	19478	164.60281690140846	0.09985123399508	0.009562598524917754	0.009390195907281015
UP_KW_PTM	KW-0325~Glycoprotein	36	50.70422535211267	1.3430650162916857E-4	C1QB, ITGB2, CD3G, AFP, JCHAIN, LIPF, MFSD4A, CDH5, FCGR3A, FCGR3B, CXCR1, EPCAM, CXCR2, APOE, CD14, APOB, PDGFRA, ABCC2, UGT1A1, VWF, MMP2, CLEC11A, KRT7, APOA1, PCOLCE, CD2, ATP4B, MARCO, AZGP1, ALB, CYP1A1, PECAM1, CD68, CD44, UGT2B7, ABCG2	62	4844	14316	1.7160437921206149	0.0025487413388225466	0.0013430650162916857	0.0013430650162916857
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	5	7.042253521126761	1.5216507560052864E-4	CYP2C9, CYP2D6, CYP1A1, CYP3A4, CYP8B1	71	74	19253	18.322230681385612	0.03864713612561399	0.022390006629894498	0.020661048588976005
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	6	8.450704225352112	1.8463798706593347E-4	CYP2C9, CYP2D6, CYP1A1, CYP3A4, CYP7A1, CYP8B1	71	145	19253	11.22078678970374	0.046700023374527055	0.022390006629894498	0.020661048588976005
GOTERM_BP_DIRECT	GO:0042158~lipoprotein biosynthetic process	3	4.225352112676056	1.8920179244728106E-4	APOA1, APOE, APOB	71	6	19478	137.16901408450704	0.1456640554722961	0.013117990943011486	0.012881488702452384
BIOCARTA	h_thelperPathway:T Helper Cell Surface Molecules	4	5.633802816901409	1.987450238312216E-4	CD2, ITGB2, CD3G, CD3E	18	12	1622	30.037037037037035	0.008707518200154585	0.00291492701619125	0.002451188627251733
BIOCARTA	h_tcytotoxicPathway:T Cytotoxic Cell Surface Molecules	4	5.633802816901409	1.987450238312216E-4	CD2, ITGB2, CD3G, CD3E	18	12	1622	30.037037037037035	0.008707518200154585	0.00291492701619125	0.002451188627251733
GOTERM_MF_DIRECT	GO:0020037~heme binding	6	8.450704225352112	2.593437061377741E-4	CYP2C9, CYP2D6, CYP1A1, CYP3A4, CYP7A1, CYP8B1	71	156	19253	10.429577464788732	0.06497193252752365	0.022390006629894498	0.020661048588976005
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	20	28.169014084507044	2.5957775114169126E-4	C1QB, VWF, MMP2, CLEC11A, APOA1, PCOLCE, AFP, PGC, JCHAIN, LIPF, FCGR3A, AZGP1, FCGR3B, IGKC, ALB, IGLC1, CD14, APOE, APOB, CD44	67	2217	18049	2.430203515575034	0.007758092856588461	0.0038936662671253688	0.003504299640412832
GOTERM_BP_DIRECT	GO:0016098~monoterpenoid metabolic process	3	4.225352112676056	2.642665804158519E-4	CYP2C9, CYP2D6, CYP3A4	71	7	19478	117.57344064386318	0.19740002487696628	0.016913061146614523	0.01660813816921162
GOTERM_BP_DIRECT	GO:0070328~triglyceride homeostasis	4	5.633802816901409	3.1640666178111226E-4	HNF4A, NR1H4, APOA1, APOE	71	37	19478	29.658165207460982	0.23148254137719138	0.01880359590013467	0.01846458876251205
UP_KW_BIOLOGICAL_PROCESS	KW-0153~Cholesterol metabolism	5	7.042253521126761	3.190471644738906E-4	CYP2D6, APOA1, APOE, APOB, CYP7A1	56	69	11523	14.910714285714285	0.012997810196069937	0.004360311247809838	0.0037222169188620567
GOTERM_MF_DIRECT	GO:0019825~oxygen binding	4	5.633802816901409	3.5442583701459783E-4	ALB, CYP1A1, CYP3A4, CYP8B1	71	38	19253	28.544106745737583	0.08772387228844036	0.02294907294669521	0.02117694376162222
UP_KW_LIGAND	KW-0349~Heme	6	8.450704225352112	3.7044263382750986E-4	CYP2C9, CYP2D6, CYP1A1, CYP3A4, CYP7A1, CYP8B1	32	143	6987	9.161276223776225	0.005542253698435751	0.005556639507412648	0.005556639507412648
UP_KW_DOMAIN	KW-0732~Signal	32	45.07042253521127	3.999306085595295E-4	C1QB, ITGB2, CD3G, AFP, CD3E, JCHAIN, LIPF, CDH5, FCGR3A, FCGR3B, CYP2D6, EPCAM, APOE, CD14, APOB, PDGFRA, UGT1A1, VWF, MMP2, CLEC11A, APOA1, PCOLCE, PGC, CD2, CYP2C9, AZGP1, ALB, CYP1A1, PECAM1, CD68, CD44, UGT2B7	61	4415	14625	1.737742049273156	0.004788625026283744	0.004799167302714354	0.004799167302714354
GOTERM_BP_DIRECT	GO:0070989~oxidative demethylation	3	4.225352112676056	4.5092482850996214E-4	CYP2C9, CYP2D6, CYP3A4	71	9	19478	91.44600938967136	0.31288531818133625	0.0250112971546859	0.024560372326175937
GOTERM_MF_DIRECT	GO:0101021~estrogen 2-hydroxylase activity	3	4.225352112676056	4.6143819434829353E-4	CYP2C9, CYP1A1, CYP3A4	71	9	19253	90.38967136150234	0.11267155225792747	0.023902498467241604	0.02205674568984843
UP_SEQ_FEATURE	CARBOHYD:N-linked (Glc) (glycation) lysine	3	4.225352112676056	4.996533430615137E-4	ALB, APOA1, APOE	71	10	20675	87.35915492957746	0.21877371721386263	0.12341437573619389	0.12341437573619389
GOTERM_CC_DIRECT	GO:0005576~extracellular region	19	26.76056338028169	4.999477870609871E-4	C1QB, VWF, MMP2, CLEC11A, APOA1, PCOLCE, PGC, JCHAIN, LIPF, CD2, AZGP1, FCGR3B, IGKC, ALB, IGLC1, CD14, APOE, APOB, CD44	71	2313	20795	2.405905384751222	0.08470868384306296	0.012641536901399244	0.010998851315341715
KEGG_PATHWAY	hsa00140:Steroid hormone biosynthesis	5	7.042253521126761	5.599480885638503E-4	UGT1A1, CYP1A1, CYP3A4, CYP7A1, UGT2B7	53	63	8534	12.779275232105421	0.07903700524406676	0.02396849777698132	0.022827140739982207
INTERPRO	IPR002401:Cyt_P450_E_grp-I	4	5.633802816901409	7.160012078446982E-4	CYP2C9, CYP2D6, CYP1A1, CYP3A4	71	52	20808	22.543878656554714	0.20312199363101158	0.05674309572169234	0.056206094815808814
KEGG_PATHWAY	hsa00830:Retinol metabolism	5	7.042253521126761	7.485780336527951E-4	CYP2C9, UGT1A1, CYP1A1, CYP3A4, UGT2B7	53	68	8534	11.839622641509434	0.10423948010939699	0.02396849777698132	0.022827140739982207
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	12	16.901408450704224	7.701959112765694E-4	LIPF, CYP2C9, UGT1A1, CYP2D6, CYP1A1, APOA1, APOE, APOB, CYP3A4, CYP7A1, CYP8B1, UGT2B7	56	758	11523	3.257538635506973	0.03109644185793503	0.007894508090584836	0.006739214223669982
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	28	39.436619718309856	7.901776778470784E-4	ITGB2, CD3G, AFP, LIPF, MFSD4A, CDH5, FCGR3A, FCGR3B, CXCR1, EPCAM, CXCR2, CD14, APOB, PDGFRA, ABCC2, UGT1A1, VWF, MMP2, PCOLCE, CD2, ATP4B, MARCO, AZGP1, PECAM1, CD68, CD44, UGT2B7, ABCG2	71	4423	20675	1.8434368362560623	0.3232829743189467	0.13011592428548557	0.13011592428548557
KEGG_PATHWAY	hsa05204:Chemical carcinogenesis - DNA adducts	5	7.042253521126761	8.811908393722931E-4	CYP2C9, UGT1A1, CYP1A1, CYP3A4, UGT2B7	53	71	8534	11.339356896093545	0.12154637315173655	0.02396849777698132	0.022827140739982207
KEGG_PATHWAY	hsa00982:Drug metabolism - cytochrome P450	5	7.042253521126761	9.783060317135233E-4	CYP2C9, UGT1A1, CYP2D6, CYP3A4, UGT2B7	53	73	8534	11.028689583871802	0.13400953264464832	0.02396849777698132	0.022827140739982207
GOTERM_CC_DIRECT	GO:0042627~chylomicron	3	4.225352112676056	9.902201111301253E-4	APOA1, APOE, APOB	71	14	20795	62.761569416499	0.16084160022997684	0.02190861995875402	0.019061737139254912
GOTERM_MF_DIRECT	GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	4	5.633802816901409	0.001293302467511098	CYP2C9, CYP2D6, CYP3A4, CYP8B1	71	59	19253	18.38433993793268	0.28479218757849034	0.04909911170346559	0.04530767450628679
GOTERM_CC_DIRECT	GO:0034362~low-density lipoprotein particle	3	4.225352112676056	0.0013001140748589088	APOA1, APOE, APOB	71	16	20795	54.91637323943662	0.2056808229362871	0.025568910138891874	0.022246396392030215
GOTERM_MF_DIRECT	GO:0008395~steroid hydroxylase activity	3	4.225352112676056	0.0013270030190125836	CYP2C9, CYP1A1, CYP3A4	71	15	19253	54.23380281690141	0.29101579121054943	0.04909911170346559	0.04530767450628679
UP_KW_PTM	KW-0971~Glycation	3	4.225352112676056	0.001351563688709184	ALB, APOA1, APOE	62	13	14316	53.28535980148883	0.025369719728058016	0.00901042459139456	0.00901042459139456
GOTERM_BP_DIRECT	GO:0006164~purine nucleotide biosynthetic process	3	4.225352112676056	0.0014788239044546418	PRPS2, ADSL, GART	71	16	19478	51.438380281690144	0.7080848628627023	0.07689884303164138	0.07551244562121515
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	10	14.084507042253522	0.0015699994998150972	PRPS2, PDGFRA, UGT1A1, HNF4A, PECAM1, APOA1, APOE, HNF1A, ABCG2, JCHAIN	71	753	19253	3.6011821259562686	0.33432213343647055	0.05082873380651377	0.04690373505697603
UP_SEQ_FEATURE	DOMAIN:Ig-like	9	12.676056338028168	0.001929407521771439	PDGFRA, AZGP1, FCGR3A, FCGR3B, IGKC, PECAM1, IGLC1, CD3G, CD3E	71	673	20675	3.8941673817047904	0.6148213343372316	0.2382818289387727	0.2382818289387727
INTERPRO	IPR050488:Ig_Fc_receptor	3	4.225352112676056	0.0020381871269183655	FCGR3A, FCGR3B, PECAM1	71	20	20808	43.96056338028169	0.47626249092946726	0.12922106384662438	0.12799815157047334
GOTERM_CC_DIRECT	GO:0071682~endocytic vesicle lumen	3	4.225352112676056	0.0020406863864934083	APOA1, APOE, APOB	71	20	20795	43.933098591549296	0.3034185439458279	0.03612014904093332	0.03142657035199849
GOTERM_BP_DIRECT	GO:0042110~T cell activation	4	5.633802816901409	0.002048105246811845	CD2, CD3G, CD3E, CD44	71	70	19478	15.67645875251509	0.8183676993213658	0.10023668031455617	0.0984295286261928
GOTERM_CC_DIRECT	GO:0034361~very-low-density lipoprotein particle	3	4.225352112676056	0.0024702860026072967	APOA1, APOE, APOB	71	22	20795	39.93918053777209	0.3545332420744106	0.03974914749649923	0.03458400403650215
GOTERM_BP_DIRECT	GO:0006898~receptor-mediated endocytosis	4	5.633802816901409	0.0024943339833339555	MARCO, ITGB2, CD14, APOE	71	75	19478	14.631361502347417	0.8748044562723007	0.11529365967410284	0.11321504802132452
INTERPRO	IPR036179:Ig-like_dom_sf	10	14.084507042253522	0.002514988222233462	CD2, PDGFRA, AZGP1, FCGR3A, FCGR3B, IGKC, PECAM1, IGLC1, CD3G, CD3E	71	872	20808	3.3608993410001293	0.5498864925798376	0.1328752110746679	0.13161771696355118
BIOCARTA	h_neutrophilPathway:Neutrophil and Its Surface Molecules	3	4.225352112676056	0.002791072315876395	ITGB2, PECAM1, CD44	18	8	1622	33.791666666666664	0.11571766453203047	0.030701795474640345	0.025817418921856652
GOTERM_BP_DIRECT	GO:1902533~positive regulation of intracellular signal transduction	3	4.225352112676056	0.003067623067252465	CDH5, VWF, PECAM1	71	23	19478	35.78322106552358	0.922399786908592	0.134329599576529	0.131907791891856
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	5	7.042253521126761	0.003123428544174014	CD2, CD3G, CD14, CD3E, CD44	53	100	8534	8.050943396226415	0.36862957501770754	0.05906476828144375	0.05625216026804167
KEGG_PATHWAY	hsa05150:Staphylococcus aureus infection	5	7.042253521126761	0.0033548689953500476	C1QB, FCGR3A, KRT19, FCGR3B, ITGB2	53	102	8534	7.89308176100629	0.38981607473326263	0.05906476828144375	0.05625216026804167
BIOCARTA	h_lymphocytePathway:Adhesion Molecules on Lymphocyte	3	4.225352112676056	0.0035664127363544285	ITGB2, PECAM1, CD44	18	9	1622	30.037037037037038	0.14546913119976745	0.03138443207991897	0.026391454249022773
KEGG_PATHWAY	hsa04979:Cholesterol metabolism	4	5.633802816901409	0.0036162103029455358	APOA1, APOE, APOB, CYP7A1	53	51	8534	12.628930817610062	0.41289194487156544	0.05906476828144375	0.05625216026804167
GOTERM_MF_DIRECT	GO:0001540~amyloid-beta binding	4	5.633802816901409	0.0036735493394736106	MARCO, ITGB2, APOA1, APOE	71	85	19253	12.760894780447389	0.6144950203222632	0.1057165865470739	0.09755314357046589
GOTERM_CC_DIRECT	GO:0005911~cell-cell junction	5	7.042253521126761	0.0040172132093948786	CD2, CDH5, DES, PECAM1, CD3E	71	192	20795	7.627274061032863	0.5095729749769611	0.05925389483857446	0.05155423618723428
GOTERM_MF_DIRECT	GO:0120020~cholesterol transfer activity	3	4.225352112676056	0.004312821929815324	APOA1, APOE, APOB	71	27	19253	30.12989045383412	0.6735363223451609	0.1117020879822169	0.10307644412258625
GOTERM_BP_DIRECT	GO:0023019~signal transduction involved in regulation of gene expression	3	4.225352112676056	0.004854802767708605	PDGFRA, EPCAM, HNF4A	71	29	19478	28.379796017484214	0.9825607610888636	0.19625936414998196	0.19272103426747025
GOTERM_BP_DIRECT	GO:0015721~bile acid and bile salt transport	3	4.225352112676056	0.005189550494350484	ABCC2, NR1H4, CYP7A1	71	30	19478	27.433802816901405	0.9868185982356042	0.19625936414998196	0.19272103426747025
GOTERM_BP_DIRECT	GO:0033344~cholesterol efflux	3	4.225352112676056	0.005189550494350484	APOA1, APOE, APOB	71	30	19478	27.433802816901405	0.9868185982356042	0.19625936414998196	0.19272103426747025
GOTERM_MF_DIRECT	GO:0004888~transmembrane signaling receptor activity	5	7.042253521126761	0.005264562264926837	MARCO, PECAM1, CD3G, CD3E, CD44	71	192	19253	7.061693075117371	0.7451610356751278	0.12395651151055008	0.114384580119774
BIOCARTA	h_monocytePathway:Monocyte and its Surface Molecules	3	4.225352112676056	0.005381787414166756	ITGB2, PECAM1, CD44	18	11	1622	24.575757575757574	0.21135432621652672	0.039466441037222875	0.03318768905402833
GOTERM_BP_DIRECT	GO:0030522~intracellular receptor signaling pathway	3	4.225352112676056	0.005889966192792349	HNF4A, NR1I2, NR1H4	71	32	19478	25.719190140845072	0.9926638459142026	0.21306312488709714	0.20922184258744994
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	30	42.25352112676056	0.005928902542831472	ITGB2, CD3G, CD3E, LGALS4, CDH5, FCGR3A, FCGR3B, CXCR1, IGKC, EPCAM, CXCR2, IGLC1, APOE, CD14, APOB, PDGFRA, ABCC2, UGT1A1, MMP2, APOA1, CD2, ATP4B, CYP2C9, MARCO, ATP4A, KRT19, PECAM1, CD68, CD44, ABCG2	71	5597	20795	1.5698802426853422	0.650949630922167	0.08072428846778235	0.07023469166123436
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	5	7.042253521126761	0.00657645344905679	ACTA2, PDGFRA, MARCO, APOE, CD44	71	207	19478	6.626522419541403	0.9958708364982182	0.22798371956730204	0.22387343616164154
INTERPRO	IPR006898:HNF1a_C	2	2.8169014084507045	0.006717025499033715	HNF4A, HNF1A	71	2	20808	293.07042253521126	0.8819303459736103	0.16324979200120723	0.16170484128826207
INTERPRO	IPR000174:Chemokine_CXCR_1/2	2	2.8169014084507045	0.006717025499033715	CXCR1, CXCR2	71	2	20808	293.07042253521126	0.8819303459736103	0.16324979200120723	0.16170484128826207
GOTERM_CC_DIRECT	GO:0034360~chylomicron remnant	2	2.8169014084507045	0.00672121767027249	APOE, APOB	71	2	20795	292.887323943662	0.6968936362049585	0.08497539483130219	0.0739333943729974
GOTERM_MF_DIRECT	GO:0030159~signaling receptor complex adaptor activity	3	4.225352112676056	0.006781127410032848	CDH5, CD3G, CD3E	71	34	19253	23.926677713338858	0.8283493453373741	0.13087525770868852	0.1207690602022261
GOTERM_BP_DIRECT	GO:0006869~lipid transport	4	5.633802816901409	0.007110299169378242	APOA1, APOE, APOB, ABCG2	71	109	19478	10.06745057500969	0.9973597999289777	0.2295956713312481	0.22545632629522802
GOTERM_BP_DIRECT	GO:0038112~interleukin-8-mediated signaling pathway	2	2.8169014084507045	0.0071748647291015035	CXCR1, CXCR2	71	2	19478	274.3380281690141	0.9974988523070886	0.2295956713312481	0.22545632629522802
GOTERM_MF_DIRECT	GO:0004918~interleukin-8 receptor activity	2	2.8169014084507045	0.0072585631835685605	CXCR1, CXCR2	71	2	19253	271.16901408450707	0.8484476235376412	0.13087525770868852	0.1207690602022261
GOTERM_MF_DIRECT	GO:0070576~vitamin D 24-hydroxylase activity	2	2.8169014084507045	0.0072585631835685605	CYP1A1, CYP3A4	71	2	19253	271.16901408450707	0.8484476235376412	0.13087525770868852	0.1207690602022261
GOTERM_MF_DIRECT	GO:0016712~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	3	4.225352112676056	0.007579648129846826	CYP2C9, CYP2D6, CYP3A4	71	36	19253	22.597417840375584	0.8606277110285203	0.13087525770868852	0.1207690602022261
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	7	9.859154929577464	0.008211699635402359	ACTA2, CDH5, NR1I2, ARX, SOX9, APOB, CD3E	71	489	19478	3.9271292375932485	0.998951442987097	0.2447199776748412	0.24030795884656878
GOTERM_BP_DIRECT	GO:0019722~calcium-mediated signaling	4	5.633802816901409	0.00823576847944177	FCGR3A, CXCR1, CXCR2, CD3E	71	115	19478	9.54219228413962	0.9989724024323566	0.2447199776748412	0.24030795884656878
GOTERM_CC_DIRECT	GO:0032991~protein-containing complex	8	11.267605633802818	0.008499935839791903	CD2, ACTA2, PDGFRA, ADSL, ALB, PECAM1, SOX9, HNF1A	71	691	20795	3.3908807403028884	0.7792929753409553	0.10029924290954446	0.08726600795519687
BIOCARTA	h_ctlPathway:CTL mediated immune response against target cells 	3	4.225352112676056	0.008741060106240019	ITGB2, CD3G, CD3E	18	14	1622	19.30952380952381	0.32043163497935434	0.054943806382080115	0.0462027462758401
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) (complex) asparagine	4	5.633802816901409	0.008989705923189853	CDH5, AZGP1, VWF, JCHAIN	71	126	20675	9.244355019002906	0.988449152034183	0.4437857235204682	0.4437857235204682
GOTERM_MF_DIRECT	GO:0001228~DNA-binding transcription activator activity, RNA polymerase II-specific	7	9.859154929577464	0.009344968807578817	HNF4A, NR1I2, ARX, NR1H4, SOX9, ERG, HNF1A	71	497	19253	3.8192818885141833	0.9121150676405942	0.1512716825726821	0.13959047156320858
