# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
SCO1	SCO1	NM_004589.4	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0
SON	SON	NM_001291411.1	protein_coding	0	2	3	7	0	0	5	3	0	0	2	2
SON	SON	NM_001291412.2	protein_coding	0	2	4	22	1	3	16	4	0	0	2	2
SON	SON	NM_032195.2	protein_coding	0	2	3	7	0	0	5	3	0	0	2	2
SON	SON	NM_138927.3	protein_coding	0	4	7	17	1	3	11	7	0	0	4	2
SON	SON	NR_103797.1		0	0	0	28	0	3	16	0	7	0	0	2
TMEM50B	TMEM50B	NM_006134.7	protein_coding	0	0	0	30	1	8	21	0	0	0	0	0
TMEM50B	TMEM50B	NR_040016.1		0	0	0	54	0	5	47	0	2	0	0	0
USP43	USP43	NM_001267576.1	protein_coding	0	0	0	8	0	1	7	0	0	0	0	0
USP43	USP43	NM_153210.5	protein_coding	0	0	0	8	0	1	7	0	0	0	0	0
